date,sales
2022-01-01,1623.21
2022-01-02,1626.78
2022-01-03,1487.72
2022-01-04,1558.96
2022-01-05,1498.91
2022-01-06,1395.79
2022-01-07,1548.77
2022-01-08,1657.55
2022-01-09,1668.47
2022-01-10,1552.12
2022-01-11,1568.6
2022-01-12,1650.4
2022-01-13,1617.28
2022-01-14,1581.15
2022-01-15,1670.94
2022-01-16,1656.65
2022-01-17,1615.48
2022-01-18,1708.72
2022-01-19,1615.35
2022-01-20,1611.82
2022-01-21,1671.28
2022-01-22,1670.99
2022-01-23,1770.93
2022-01-24,1693.89
2022-01-25,1733.39
2022-01-26,1653.23
2022-01-27,1711.67
2022-01-28,1710.55
2022-01-29,1912.54
2022-01-30,1770.24
2022-01-31,1764.19
2022-02-01,1607.1
2022-02-02,1528.27
2022-02-03,1699.01
2022-02-04,1684.07
2022-02-05,1987.26
2022-02-06,1980.25
2022-02-07,1689.58
2022-02-08,1864.95
2022-02-09,1727.12
2022-02-10,1810.59
2022-02-11,1804.23
2022-02-12,1997.2
2022-02-13,2063.9
2022-02-14,1909.9
2022-02-15,1897.28
2022-02-16,1931.79
2022-02-17,1928.63
2022-02-18,1850.78
2022-02-19,2004.17
2022-02-20,2034.63
2022-02-21,1972.86
2022-02-22,1923.62
2022-02-23,2141.24
2022-02-24,1899.6
2022-02-25,1888.01
2022-02-26,2198.2
2022-02-27,2261.28
2022-02-28,2048.8
2022-03-01,2086.04
2022-03-02,2144.11
2022-03-03,2033.31
2022-03-04,1937.82
2022-03-05,2169.91
2022-03-06,2299.51
2022-03-07,1968.58
2022-03-08,2097.54
2022-03-09,2125.88
2022-03-10,2091.12
2022-03-11,2184.98
2022-03-12,2334.24
2022-03-13,2484.15
2022-03-14,2208.66
2022-03-15,2120.9
2022-03-16,2135.26
2022-03-17,2124.19
2022-03-18,2277.36
2022-03-19,2316.24
2022-03-20,2366.33
2022-03-21,2292.21
2022-03-22,2184.64
2022-03-23,2229.21
2022-03-24,2115.53
2022-03-25,2186.3
2022-03-26,2387.47
2022-03-27,2476.08
2022-03-28,2398.14
2022-03-29,2310.96
2022-03-30,2343.04
2022-03-31,2345.18
2022-04-01,2428.04
2022-04-02,2572.17
2022-04-03,2531.94
2022-04-04,2288.43
2022-04-05,2450.73
2022-04-06,2418.0
2022-04-07,2494.64
2022-04-08,2402.94
2022-04-09,2720.33
2022-04-10,2544.02
2022-04-11,2558.7
2022-04-12,2448.89
2022-04-13,2406.68
2022-04-14,2365.89
2022-04-15,2452.15
2022-04-16,2736.04
2022-04-17,2695.3
2022-04-18,2542.8
2022-04-19,2305.18
2022-04-20,2559.56
2022-04-21,2554.45
2022-04-22,2473.15
2022-04-23,2623.99
2022-04-24,2680.88
2022-04-25,2675.81
2022-04-26,2460.02
2022-04-27,2516.66
2022-04-28,2666.15
2022-04-29,2527.68
2022-04-30,2690.25
2022-05-01,2733.08
2022-05-02,2481.67
2022-05-03,2604.13
2022-05-04,2495.17
2022-05-05,2668.0
2022-05-06,2602.53
2022-05-07,2939.88
2022-05-08,2784.44
2022-05-09,2725.84
2022-05-10,2516.76
2022-05-11,2615.53
2022-05-12,2655.27
2022-05-13,2773.02
2022-05-14,2652.66
2022-05-15,2869.99
2022-05-16,2691.49
2022-05-17,2770.13
2022-05-18,2707.53
2022-05-19,2657.63
2022-05-20,2614.48
2022-05-21,2708.93
2022-05-22,2826.82
2022-05-23,2648.07
2022-05-24,2827.08
2022-05-25,2618.45
2022-05-26,2694.66
2022-05-27,2545.03
2022-05-28,2790.26
2022-05-29,2843.95
2022-05-30,2739.97
2022-05-31,2790.71
2022-06-01,2671.96
2022-06-02,2586.57
2022-06-03,2712.86
2022-06-04,2867.69
2022-06-05,2865.58
2022-06-06,2619.97
2022-06-07,2766.23
2022-06-08,2681.99
2022-06-09,2730.15
2022-06-10,2775.13
2022-06-11,2870.81
2022-06-12,2843.68
2022-06-13,2841.49
2022-06-14,2687.1
2022-06-15,2642.09
2022-06-16,2672.72
2022-06-17,2780.2
2022-06-18,2818.73
2022-06-19,2848.26
2022-06-20,2749.68
2022-06-21,2610.13
2022-06-22,2510.0
2022-06-23,2668.89
2022-06-24,2659.95
2022-06-25,2739.41
2022-06-26,2854.05
2022-06-27,2679.12
2022-06-28,2546.9
2022-06-29,2663.79
2022-06-30,2602.32
2022-07-01,2494.88
2022-07-02,2795.12
2022-07-03,2750.48
2022-07-04,2539.53
2022-07-05,2635.89
2022-07-06,2627.86
2022-07-07,2537.22
2022-07-08,2609.92
2022-07-09,2803.41
2022-07-10,2659.38
2022-07-11,2590.9
2022-07-12,2554.55
2022-07-13,2729.38
2022-07-14,2392.75
2022-07-15,2590.86
2022-07-16,2654.11
2022-07-17,2663.83
2022-07-18,2667.1
2022-07-19,2507.28
2022-07-20,2680.11
2022-07-21,2458.22
2022-07-22,2514.27
2022-07-23,2589.49
2022-07-24,2565.92
2022-07-25,2468.47
2022-07-26,2433.07
2022-07-27,2463.96
2022-07-28,2271.35
2022-07-29,2591.84
2022-07-30,2560.08
2022-07-31,2704.57
2022-08-01,2326.18
2022-08-02,2421.67
2022-08-03,2642.89
2022-08-04,2311.47
2022-08-05,2252.69
2022-08-06,2469.78
2022-08-07,2542.41
2022-08-08,2401.12
2022-08-09,2439.85
2022-08-10,2306.97
2022-08-11,2190.19
2022-08-12,2274.34
2022-08-13,2549.08
2022-08-14,2477.78
2022-08-15,2124.58
2022-08-16,2268.9
2022-08-17,2374.07
2022-08-18,2422.81
2022-08-19,2288.05
2022-08-20,2408.25
2022-08-21,2274.64
2022-08-22,2146.72
2022-08-23,2208.23
2022-08-24,2235.0
2022-08-25,2231.41
2022-08-26,2136.97
2022-08-27,2223.28
2022-08-28,2243.41
2022-08-29,2053.26
2022-08-30,2187.46
2022-08-31,1941.18
2022-09-01,2089.67
2022-09-02,2142.5
2022-09-03,2368.45
2022-09-04,2242.58
2022-09-05,2157.17
2022-09-06,2035.36
2022-09-07,1997.95
2022-09-08,1993.8
2022-09-09,2160.21
2022-09-10,2257.85
2022-09-11,2207.63
2022-09-12,2275.42
2022-09-13,1996.8
2022-09-14,2039.44
2022-09-15,2004.89
2022-09-16,1953.05
2022-09-17,2296.66
2022-09-18,2222.5
2022-09-19,1830.68
2022-09-20,1901.37
2022-09-21,1958.4
2022-09-22,1977.63
2022-09-23,1798.0
2022-09-24,1866.4
2022-09-25,1885.38
2022-09-26,1873.31
2022-09-27,1861.93
2022-09-28,1889.07
2022-09-29,1791.23
2022-09-30,1746.3
2022-10-01,1823.91
2022-10-02,2003.7
2022-10-03,1848.67
2022-10-04,1890.3
2022-10-05,1866.01
2022-10-06,1779.48
2022-10-07,1894.77
2022-10-08,1918.12
2022-10-09,1868.46
2022-10-10,1722.1
2022-10-11,1709.48
2022-10-12,1575.65
2022-10-13,1754.17
2022-10-14,1754.53
2022-10-15,1848.55
2022-10-16,1813.54
2022-10-17,1743.64
2022-10-18,1844.62
2022-10-19,1703.83
2022-10-20,1653.79
2022-10-21,1640.85
2022-10-22,1826.49
2022-10-23,1724.93
2022-10-24,1660.27
2022-10-25,1669.51
2022-10-26,1806.65
2022-10-27,1729.17
2022-10-28,1731.17
2022-10-29,1736.31
2022-10-30,1842.0
